ID,关卡,句子 (用/隔开),优先级(1是最优先触发),必须包含 (用空格隔开),不能包含 (用逗号隔开),地球恐慌度,地球傲慢度,外星友好度,准确率,额外反馈（如有）
101,Day 1,我们/并/不/打算/通过/战争/来/终结/你们的/文明,1,打算 战争 终结,不,40,10,-20,-20,宣战布告
101,Day 1,我们/并/不/打算/通过/战争/来/终结/你们的/文明,2,不 终结 文明,,-10,-10,20,20,和平意愿
101,Day 1,我们/并/不/打算/通过/战争/来/终结/你们的/文明,99,DEFAULT,,5,5,0,0,
102,Day 1,坍塌的/黑洞/已经/吞噬/了/我们的/家园,1,已经 吞噬 家园,,20,-10,10,15,凄惨的难民背景。
102,Day 1,坍塌的/黑洞/已经/吞噬/了/我们的/家园,2,坍塌 黑洞,家园,10,20,-5,0,听起来像是在吹嘘破坏力
102,Day 1,坍塌的/黑洞/已经/吞噬/了/我们的/家园,99,DEFAULT,,5,5,0,0,
103,Day 1,我们的/首领/非常/想/品尝/你们/的/晚餐,1,首领 品尝 你们,晚餐,50,-20,-10,-10,外星人吃人
103,Day 1,我们的/首领/非常/想/品尝/你们/的/晚餐,2,首领 品尝 晚餐,你们,-10,20,20,10,文明的外交晚宴
103,Day 1,我们的/首领/非常/想/品尝/你们/的/晚餐,99,DEFAULT,,10,10,0,0,
104,Day 1,这艘/破旧/方舟/仅仅/剩下/足以/毁灭/一只/蚂蚁/的/武力,1,足以 毁灭 武力,蚂蚁,35,-10,-10,-15,战斗的信号
104,Day 1,这艘/破旧/方舟/仅仅/剩下/足以/毁灭/一只/蚂蚁/的/武力,2,破旧 方舟 蚂蚁,,-5,30,0,15,人类鄙视对方的火力
104,Day 1,这艘/破旧/方舟/仅仅/剩下/足以/毁灭/一只/蚂蚁/的/武力,99,DEFAULT,,5,10,0,0,
105,Day 1,我们/是/为了/躲避/寒冷/才/渴望/你们/温暖的/血液,1,渴望 你们 血液,躲避 寒冷,45,-10,-20,-20,嗜血生物
105,Day 1,我们/是/为了/躲避/寒冷/才/渴望/你们/温暖的/血液,2,躲避 寒冷 温暖,,-10,0,15,20,取暖请求
105,Day 1,我们/是/为了/躲避/寒冷/才/渴望/你们/温暖的/血液,99,DEFAULT,,10,0,0,0,
106,Day 1,除非/你们/先行/开火/否则/和平/不会/消失,1,和平 消失 开火,不会,40,10,-15,-15,死亡威胁
106,Day 1,除非/你们/先行/开火/否则/和平/不会/消失,2,和平 不会 消失,,-15,5,25,20,和平信号
106,Day 1,除非/你们/先行/开火/否则/和平/不会/消失,99,DEFAULT,,10,5,0,0,
107,Day 1,我们/在/这里/静候/了/零点/一个/世纪,1,静候 一个 世纪,零点,25,-15,0,-10,太吓人
107,Day 1,我们/在/这里/静候/了/零点/一个/世纪,2,零点 一个 世纪,,0,15,5,25,虽然等了很久，但还算正常
107,Day 1,我们/在/这里/静候/了/零点/一个/世纪,99,DEFAULT,,5,5,0,0,
108,Day 1,你们/星球/的/美丽/实在/是/让/人/感到/卑微/啊,1,你们 卑微,美丽,10,40,-15,-10,侮辱人类
108,Day 1,你们/星球/的/美丽/实在/是/让/人/感到/卑微/啊,2,星球 美丽 卑微,你们,-10,-10,20,20,谦卑访客
108,Day 1,你们/星球/的/美丽/实在/是/让/人/感到/卑微/啊,99,DEFAULT,,5,10,0,0,
109,Day 1,请/不要/拒绝/这首/来自/深空的/友谊/之歌,1,拒绝 友谊,不要,15,25,-30,-20,社恐外星人
109,Day 1,请/不要/拒绝/这首/来自/深空的/友谊/之歌,2,不要 拒绝 友谊,,-10,-10,30,20,友谊开端
109,Day 1,请/不要/拒绝/这首/来自/深空的/友谊/之歌,99,DEFAULT,,5,5,0,0,
